id,is_binder,experimental_pKD
00_hcy129_mpnn5__cortisol,1,5.468521082957745
01_apx1049__apixaban,1,6.168130225719498
02_pib__rucaparib,1,8.657577319177793
03_pib__mefuparib,1,6.721246399047171
04_pib__niraparib,1,6.221848749616356
05_pib__veliparib,1,4.853871964321762
06_pib__rucaparib,1,9.431798275933003
07_pib__mefuparib,1,6.455931955649724
08_pib__niraparib,1,6.259637310505756
09_pib__veliparib,1,4.619788758288394
10_pib_asp29asn__rucaparib,1,7.886056647693163
11_pib_leu90trp__rucaparib,1,7.619788758288394
12_pib_asp131asn__rucaparib,1,7.301029995663981
13_able__apixaban,1,5.301029995663981
14_abp__amantadine,1,4.617982957425132
15_nbp1__n_n_diphenyl_naphthalenediimide_ndi1,1,7.568636235841013
16_nbp1_n16a_n75a__n_n_diphenyl_naphthalenediimide_ndi1,1,6.327902142064283
17_mfap2a__dfhbi,1,6.823908740944319
18_mfap2a__dfhbi_1t,1,5.236572006437063
19_mfap2b__dfhbi,1,5.7447274948966935
20_mfap2b__dfhbi_1t,1,4.958607314841775
21_mfap10__dfhbi,1,7.769551078621726
22_mfap10__dfhbi_1t,1,7.346787486224656
23_mfap_ph__dfhbi,1,6.795880017344075
24_b11__dfhbi,1,4.892790030352131
25_b32__dfhbi,1,4.302770657240282
26_b11l5f__dfhbi,1,5.1249387366083
27_mfap1__dfhbi,1,6.251811972993799
28_mfap2__dfhbi,1,6.7447274948966935
29_epic__exatecan,1,6.920818753952375
30_epic__fl118,1,5.221848749616356
31_epic__belotecan,1,4.721246399047171
32_epic__camptothecin,1,4.045757490560675
33_epic_q51n__exatecan,1,8.096910013008056
34_epic_m97l__exatecan,1,8.130768280269024
35_epic_q51n_m97l__exatecan,1,8.920818753952375
36_epic_g104m__exatecan,1,4.2441251443275085
37_apx1049__cortisol,0,
38_apx1049__17a_hydroxyprogesterone,0,
39_apx1049__sn_38,0,
40_pib_1__rucaparib,0,
41_pib_2__rucaparib,0,
42_pib__olaparib,0,
43_pib__olaparib,0,
44_epic__irinotecan,0,
45_epic__apixaban,0,
46_epic__dexamethasone,0,
47_rhobin1__jf660,1,6.962574
48_rhobin2__jf660,1,6.241845
49_rhobin3__jf660,1,6.179142
50_rhobin4__jf660,1,6.417937
51_rhobin5__jf660,1,6.401209
52_rhobin6__jf660,1,6.866461
53_rhobin7__jf660,1,6.725842
54_rhobin8__jf660,0,
55_rhobin9__jf660,1,7.040959
56_rhobin9__rh101,1,6.962574
57_rhobin9__sirh,1,6.241845
58_rhobin9__jf669,1,6.946922
59_rhobin9__jf646,1,6.924453
60_rhobin9__jfx646,1,6.696804
